,都道府県,世帯総数,一般世帯,施設
0,北海道,"2,306,419","2,277,968","5,676"
1,青森県,"506,540","504,373","1,523"
2,岩手県,"476,398","474,660","1,303"
3,宮城県,"833,366","831,669","1,071"
4,秋田県,"389,190","388,424",625
5,山形県,"377,049","376,219",607
6,福島県,"687,828","686,225","1,121"
7,茨城県,"985,829","983,817","1,181"
8,栃木県,"667,459","665,934",739
9,群馬県,"695,092","690,972","1,587"
10,埼玉県,"2,482,374","2,470,487","2,284"
11,千葉県,"2,173,312","2,164,117","1,873"
12,東京都,"5,423,551","5,371,057","12,041"
13,神奈川県,"3,341,233","3,318,332","11,294"
14,新潟県,"795,868","791,880","1,554"
15,富山県,"357,574","356,361",872
16,石川県,"411,341","406,618",756
17,福井県,"259,612","258,328","1,045"
18,山梨県,"308,724","307,916",637
19,長野県,"758,164","755,840","1,374"
20,岐阜県,"680,317","678,036","1,744"
21,静岡県,"1,280,984","1,278,668","1,877"
22,愛知県,"2,548,219","2,522,824","2,449"
23,三重県,"636,682","635,382",770
24,滋賀県,"440,294","439,370",530
25,京都府,"1,026,724","1,015,468","1,917"
26,大阪府,"3,485,910","3,454,840","19,775"
27,兵庫県,"2,040,709","2,035,097","2,870"
28,奈良県,"486,896","484,954",642
29,和歌山県,"380,698","379,753",756
30,鳥取県,"201,067","199,988",422
31,島根県,"257,530","256,508",780
32,岡山県,"691,620","689,733","1,408"
33,広島県,"1,099,536","1,095,905","1,572"
34,山口県,"583,725","582,437",976
35,徳島県,"288,808","287,897",664
36,香川県,"364,972","363,955",612
37,愛媛県,"566,146","564,959",835
38,高知県,"321,140","319,298",922
39,福岡県,"1,917,721","1,906,862","3,087"
40,佐賀県,"278,306","277,606",585
41,長崎県,"544,878","542,985","1,200"
42,熊本県,"647,216","644,963","1,636"
43,大分県,"453,814","451,697",964
44,宮崎県,"439,012","437,493","1,169"
45,鹿児島県,"716,610","714,413","1,583"
46,沖縄県,"446,286","440,095",720
